index,avg_pcc,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,username,age,gender,location,ethnicity,occupation,marital_status,children,religion,sexual_orientation,sex,description,age_bin,description_set,description_stem,description_stem_set
55961,22199.73083793937,55961,56027,2544,1,caringrichy,50.0,male,"new york, united states",,petroleum engineer,divorced,,,,male,"honest, kind, respectful and faithful serious, purposeful, responsible, modest, loyal, flexible, elegant, sociable, communicative, sensitive, gentle, cheerful, very optimistic, romantic, considered, very positive …….
",51-60,"{'flexible', 'kind', 'communicative', 'sociable', 'respectful', 'gentle', 'faithful', 'serious', 'purposeful', 'sensitive', 'romantic', 'cheerful', 'optimistic', 'positive', 'modest', 'considered', 'elegant', 'loyal', 'responsible', 'honest'}",honest kind respect faith seriou purpos respons modest loyal flexibl eleg sociabl commun sensit gentl cheer optimist romant consid posit,"{'kind', 'cheer', 'posit', 'gentl', 'seriou', 'faith', 'purpos', 'eleg', 'respect', 'sensit', 'romant', 'respons', 'commun', 'consid', 'modest', 'flexibl', 'optimist', 'loyal', 'sociabl', 'honest'}"
51108,22064.53167021082,51108,51109,190,1,sandrafun,28.0,female,,white,student,single,no children,christian,straight,female,"simple and straight forward
",21-30,"{'straight', 'forward', 'simple'}",simpl straight forward,"{'straight', 'simpl', 'forward'}"
54081,22050.297703182147,54081,54099,610,1,kiener009,48.0,male,"texas, usa",white,project manager,separated,no children,christian,straight,male,"i am a very caring,down to earth,loving,honest,respectful,hard working and god fearing man…i enjoy the outdoor,going for a walk on the road and also to the beach
spam
hi how are you doing today? nice meeting you,am michael if you don’t mind will love to correspond with you and get to know you much better.
",41-50,"{'spam', 'nice', 'walk', 'mind', 'caring', 'respectful', 'working', 'love', 'mani', 'honest', 'road', 'get', 'meeting', 'enjoy', 'god', 'know', 'hi', 'hard', 'going', 'earth', 'fearing', 'correspond', 'much', 'better', 'also', 'michael', 'today', 'loving', 'outdoor', 'beach'}",care earth love honest respect hard work god fear mani enjoy outdoor go walk road also beach spam hi today nice meet michael mind love correspond get know much better,"{'spam', 'nice', 'walk', 'work', 'mind', 'meet', 'love', 'mani', 'honest', 'road', 'respect', 'get', 'fear', 'enjoy', 'god', 'know', 'hi', 'hard', 'earth', 'correspond', 'go', 'care', 'much', 'better', 'also', 'michael', 'today', 'outdoor', 'beach'}"
54280,21924.38247389629,54280,54300,817,1,jamesmorris96,52.0,male,"panama city, panama",white,self employed,widowed,,,,male,"i am a ambitious, self-made, work alcoholic but down to earth person. i like to balance professional & family life. professional life gives you exposure, confidence & sense of achievement. i believe the fulfillment one gets from one’s work is very important for well-being. i also participate in family get-together, functions, parties, etc. my favorite pastime is to watch english movies, reading fictions & cooking.
",51-60,"{'achievement', 'life', 'believe', 'work', 'pastime', 'functions', 'reading', 'wellbeing', 'gettogether', 'ambitious', 'selfmade', 'one', 'english', 'gets', 'sense', 'parties', 'family', 'fulfillment', 'person', 'important', 'fictions', 'alcoholic', 'participate', 'like', 'earth', 'confidence', 'gives', 'favorite', 'watch', 'balance', 'professional', 'cooking', 'also', 'etc', 'exposure', 'movies'}",ambiti selfmad work alcohol earth person like balanc profession famili life profession life give exposur confid sens achiev believ fulfil one get one work import wellb also particip famili gettogeth function parti etc favorit pastim watch english movi read fiction cook,"{'ambiti', 'balanc', 'cook', 'life', 'work', 'favorit', 'profession', 'sens', 'believ', 'english', 'confid', 'one', 'movi', 'get', 'import', 'function', 'exposur', 'selfmad', 'give', 'person', 'parti', 'like', 'earth', 'particip', 'fulfil', 'pastim', 'watch', 'famili', 'gettogeth', 'read', 'fiction', 'also', 'alcohol', 'achiev', 'etc', 'wellb'}"
51409,21924.36018837417,51409,51410,492,1,sweetrose37,37.0,female,,mixed,sales assistant,single,1-2 children living elsewhere,christian,straight,female,"( jenniferrudson 484 gee male ) i am a woman who looks beyond what may be the obvious. character is worth more than flashiness. i am a woman who appreciates honesty and a great sense of humor. i love to laugh and to enjoy the simple things in life. i like camping, fishing, cycling, biking, movies, golf, all kinds of sports. i like the indoors too but i’m mostly an outdoorsy, i also like the city life.
",31-40,"{'appreciates', 'life', 'flashiness', 'great', 'laugh', 'jenniferrudson', 'love', 'outdoorsy', 'woman', 'cycling', 'gee', 'golf', 'fishing', 'city', 'male', 'sense', 'things', 'enjoy', 'looks', 'sports', 'movies', 'mostly', 'like', '484', 'beyond', 'obvious', 'indoors', 'biking', 'character', 'humor', 'camping', 'also', 'honesty', 'may', 'kinds', 'simple', 'worth'}",jenniferrudson 484 gee male woman look beyond may obviou charact worth flashi woman appreci honesti great sens humor love laugh enjoy simpl thing life like camp fish cycl bike movi golf kind sport like indoor mostli outdoorsi also like citi life,"{'kind', 'look', 'life', 'great', 'laugh', 'charact', 'jenniferrudson', 'obviou', 'sens', 'love', 'bike', 'woman', 'sport', 'gee', 'golf', 'male', 'movi', 'simpl', 'indoor', 'enjoy', 'cycl', 'thing', 'like', 'fish', '484', 'flashi', 'beyond', 'camp', 'outdoorsi', 'humor', 'citi', 'honesti', 'also', 'mostli', 'may', 'appreci', 'worth'}"
54928,21924.35984683028,54928,54959,1476,1,mrmooreking,44.0,male,"arlington, virginia, or washington, united states",white,engineer,widowed,,,,male,"i am down to earth, adventurous, and non-judgmental i believe in courtesy and civility – please, thank you, excuse me, mr, miss, mrs are all in my vocabulary i have a great sense of humor – almost too well developed – threatens people taking me seriously i am changeable and teachable – if you know a finer way i am willing to change – being hard headed doesn’t work very well i prefer to listen rather than talk, i like to hang around with friends, beach, hiking, biking was my fun, traveling, trying new things and more, pls no games, im too tired of that!!!
",41-50,"{'listen', 'new', 'hiking', 'talk', 'threatens', 'traveling', 'games', 'im', 'believe', 'miss', 'taking', 'great', 'work', 'friends', 'trying', 'thank', 'nonjudgmental', 'courtesy', 'rather', 'fun', 'almost', 'changeable', 'headed', 'vocabulary', 'sense', 'things', 'willing', 'pls', 'civility', 'adventurous', 'know', 'prefer', 'please', 'mrs', 'hard', 'seriously', 'way', 'like', 'earth', 'well', 'change', 'tired', 'biking', 'mr', 'humor', 'people', 'around', 'developed', 'finer', 'teachable', 'hang', 'excuse', 'beach'}",earth adventur nonjudgment believ courtesi civil pleas thank excus mr miss mr vocabulari great sens humor almost well develop threaten peopl take serious changeabl teachabl know finer way will chang hard head work well prefer listen rather talk like hang around friend beach hike bike fun travel tri new thing pl game im tire,"{'friend', 'listen', 'new', 'talk', 'tire', 'im', 'miss', 'work', 'great', 'changeabl', 'pleas', 'sens', 'travel', 'take', 'nonjudgment', 'thank', 'bike', 'believ', 'civil', 'rather', 'fun', 'excus', 'almost', 'hike', 'pl', 'game', 'serious', 'vocabulari', 'develop', 'know', 'prefer', 'hard', 'way', 'thing', 'teachabl', 'like', 'earth', 'well', 'tri', 'adventur', 'courtesi', 'beach', 'mr', 'humor', 'around', 'threaten', 'peopl', 'head', 'finer', 'will', 'hang', 'chang'}"
53135,21786.39821311097,53135,53148,2280,1,rosa123000,27.0,female,"moscow, russia",mixed,student,single,,,,female,"loveable, likeable, down to earth, shy but friendly, fun2be around, very spontaneous and at the end of the day love being happy and smiling. love being wit my kids and doing me but
",21-30,"{'fun2be', 'happy', 'friendly', 'loveable', 'spontaneous', 'end', 'around', 'day', 'earth', 'wit', 'smiling', 'likeable', 'shy', 'love', 'kids'}",loveabl likeabl earth shi friendli fun2b around spontan end day love happi smile love wit kid,"{'shi', 'kid', 'spontan', 'end', 'around', 'day', 'earth', 'fun2b', 'smile', 'likeabl', 'happi', 'wit', 'loveabl', 'love', 'friendli'}"
55878,21786.3893439794,55878,55942,2459,1,talk2me24,55.0,male,"new york, united states or lunc, united kingdom",,captain,widowed,,,,male,"i’m a honest man,loyal, open minded,fun to be with, out going, enjoy life, have a get up and go kind of mind, passionate, very loving, have loads of love to give, positive in all things, i like music blues of all kinds walking, soft romantic music, meals in and out door, walking on sandy beaches. if you would like to know more interesting stuff about me please get in contact and i will answer any questions you ask.i have nothing to hide.
i’m looking for a woman who will be a part of my life. an intelligent, warm, kind, friendly, compassionate and look doesn’t matter.a woman that is an extremely sensitive.a woman in my life and look forward to meeting some nice one.
",51-60,"{'kind', 'minded', 'nice', 'answer', 'contact', 'beaches', 'life', 'blues', 'look', 'mind', 'nothing', 'would', 'love', 'intelligent', 'woman', 'part', 'compassionate', 'sensitivea', 'looking', 'fun', 'one', 'meals', 'get', 'man', 'things', 'forward', 'soft', 'meeting', 'enjoy', 'stuff', 'loads', 'give', 'mattera', 'know', 'open', 'walking', 'please', 'music', 'going', 'warm', 'like', 'questions', 'romantic', 'interesting', 'positive', 'go', 'friendly', 'sandy', 'door', 'extremely', 'kinds', 'loving', 'hide', 'loyal', 'passionate', 'honest', 'aski'}",honest man loyal open mind fun go enjoy life get go kind mind passion love load love give posit thing like music blue kind walk soft romant music meal door walk sandi beach would like know interest stuff pleas get contact answer question aski noth hide look woman part life intellig warm kind friendli compassion look mattera woman extrem sensitivea woman life look forward meet nice one,"{'sandi', 'aski', 'kind', 'nice', 'walk', 'answer', 'contact', 'posit', 'life', 'look', 'mind', 'pleas', 'would', 'meet', 'love', 'woman', 'part', 'sensitivea', 'fun', 'one', 'compassion', 'get', 'man', 'forward', 'soft', 'intellig', 'enjoy', 'stuff', 'friendli', 'romant', 'give', 'mattera', 'know', 'open', 'passion', 'music', 'extrem', 'thing', 'load', 'warm', 'like', 'blue', 'noth', 'question', 'go', 'meal', 'interest', 'door', 'hide', 'loyal', 'honest', 'beach'}"
53928,21786.378958691832,53928,53946,418,1,robertsmith,50.0,male,"new york, united states",,business man,single,no children,christian,straight,male,"i am a country man at heart. am quiet but yet i love to meet people, open to new things in life love to treat people the way i wanted to be treated, love shopping, camping, country, beach, traveling and animals.
",51-60,"{'yet', 'new', 'traveling', 'life', 'meet', 'country', 'love', 'quiet', 'man', 'things', 'treated', 'shopping', 'open', 'way', 'animals', 'treat', 'wanted', 'heart', 'people', 'camping', 'beach'}",countri man heart quiet yet love meet peopl open new thing life love treat peopl way want treat love shop camp countri beach travel anim,"{'yet', 'new', 'life', 'travel', 'meet', 'love', 'quiet', 'man', 'want', 'open', 'anim', 'way', 'thing', 'treat', 'shop', 'heart', 'camp', 'peopl', 'countri', 'beach'}"
53154,21766.106501690465,53154,53167,2299,1,wendy001,35.0,female,"tokyo, japan, or melbourne, australia, or texas, united states",,nurse,single,,,,female,"open-minded, god fearing.. loyal, faithfulness , trust worthy, hard working open minded love and caring open-minded, god fearing.. loyal, faithfulness , trust worthy, hard working open minded love and caring open-minded, god fearing.. loyal, faithfulness , trust worthy, hard working open minded love and caring open-minded, god fearing.. loyal, faithfulness , trust worthy, hard working open minded love and caring
",31-40,"{'minded', 'open', 'hard', 'faithfulness', 'openminded', 'loyal', 'trust', 'caring', 'worthy', 'working', 'god', 'love', 'fearing'}",openmind god fear loyal faith trust worthi hard work open mind love care openmind god fear loyal faith trust worthi hard work open mind love care openmind god fear loyal faith trust worthi hard work open mind love care openmind god fear loyal faith trust worthi hard work open mind love care,"{'open', 'care', 'openmind', 'hard', 'loyal', 'work', 'trust', 'worthi', 'mind', 'fear', 'god', 'love', 'faith'}"
