index,avg_pcc
55961,22199.73083793937
51108,22064.53167021082
54081,22050.297703182147
54280,21924.38247389629
51409,21924.360188374172
54928,21924.35984683028
53135,21786.39821311097
55878,21786.389343979397
53928,21786.378958691832
53154,21766.106501690465
51527,21766.104017970716
56848,21726.709865898214
56849,21726.709865898214
55093,21717.39271551864
51098,21717.37457826084
56931,21716.6318432552
56932,21716.6318432552
52599,21688.523265804095
56291,21688.474454752366
52420,21688.46363051282
51691,21688.46359490944
53815,21688.45627573635
55726,21663.79984919283
51751,21627.25129914746
51154,21627.237907711715
53490,21578.52218516147
55806,21578.52179987415
53467,21578.520971740603
52989,21578.51994413718
51896,21578.513227341402
55172,21578.512573519467
54776,21578.50845796708
54627,21578.507807473557
52131,21578.505886230505
51760,21578.50320327762
52683,21578.502849168526
54749,21578.499908178044
53145,21578.499795820437
56213,21578.498207988916
52339,21578.495897088105
54309,21578.49183507841
53981,21578.49059416522
52168,21578.489995586806
53202,21578.489949050127
56539,21578.489535116452
55682,21578.489426820877
53990,21578.489171741232
53891,21578.488978912756
55609,21578.488946016987
56953,21578.488946016987
56954,21578.488946016987
56955,21578.488946016987
53244,21578.485012494977
54273,21578.48205761868
54508,21578.48106488507
55643,21578.4806609608
55932,21578.48062868157
55862,21578.47803384461
55944,21578.47775168089
56138,21578.47722777429
56230,21578.476693141078
54865,21578.476366535902
55527,21578.47571924254
55967,21578.475387956358
56736,21578.473702139054
51866,21578.47342182978
55253,21578.47187217749
56013,21578.46399260553
55723,21578.463406943054
52365,21578.46195015627
53417,21578.460648973854
51948,21578.46034714792
51824,21578.45815297205
55652,21578.453350223288
54135,21505.31742592394
53781,21456.780588044392
55299,21449.87630935701
54247,21444.096052437544
53119,21443.982708685846
53543,21443.97617463659
51780,21443.929581979333
55181,21392.942879088077
51161,21391.285618251943
54080,21374.235690624748
54317,21330.33174715404
55109,21323.952141215872
54734,21323.940216372277
51989,21323.937644630834
52261,21323.93136295682
53688,21301.82459003545
54460,21257.22457205537
51709,21257.218051695454
53662,21251.121381093566
56032,21251.11889179071
53449,21251.11622217367
55304,21251.105133994504
55123,21251.09849922148
53687,21206.81240815817
53975,21194.661287753617
52191,21188.590085918586
54018,21185.102132034044
56267,21185.098911659523
56712,21185.09677014828
56789,21185.084312470786
54730,21185.07712312004
52222,21185.076965105665
55814,21185.076141611957
56309,21185.053904033724
54939,21185.04587142019
55912,21185.029272586537
54231,21185.02373143514
54893,21185.020557160744
54204,21185.016532560046
53071,21173.95458799774
52827,21169.443405359885
51346,21169.44286645706
