index,avg_pcc
53246,24635.18415792747
52164,24506.838476954206
52914,24413.732009584986
56050,24393.03065950479
56115,24378.57784484728
52805,24177.885814852772
54699,24173.83072158967
52360,24173.58196510206
52842,24138.564142622425
55269,24136.238230937048
51318,24104.232672034428
56626,24095.28494441481
51991,24037.686352082084
54819,24034.685753016354
54385,23960.233124578815
55897,23946.784346050823
56750,23935.7349468487
56336,23933.83784322841
53116,23883.43283406097
53028,23881.77583054286
55316,23877.937277050303
54276,23873.388684222627
56901,23834.439337984546
56902,23834.439337984546
52391,23830.52097598087
53424,23783.73494751831
56838,23779.331801363274
56839,23779.331801363274
51024,23768.37308334044
54733,23756.378992005964
53270,23712.788734830192
55531,23710.886866794135
56497,23688.6819335827
56880,23669.7846700235
56881,23669.7846700235
51163,23652.48784226106
52200,23651.03553766044
53064,23649.68346836806
55887,23615.83503476278
51448,23614.161857041283
51245,23592.83751091993
54239,23572.284044194406
56923,23562.188567175188
56924,23562.188567175188
55153,23561.138764374526
54860,23519.134233859186
55356,23518.286236395485
54396,23502.036706206876
56459,23489.73572011742
55232,23480.379326368737
56641,23463.683359509956
55329,23456.80972742478
54725,23446.683250739625
55557,23439.880786411806
55185,23429.475620770136
53010,23410.680150851415
52565,23398.4902201761
55653,23392.030065926057
55927,23379.135930591332
51864,23365.035522650796
56068,23340.632899877568
51876,23338.63848255986
55067,23314.639493753686
54817,23306.93549256252
56075,23306.469795436828
53291,23304.979841985565
56651,23291.98874958135
54055,23278.72498055746
51321,23277.23730208242
55027,23266.72571779341
55952,23242.738318128333
55471,23240.990704538934
52248,23194.488091125662
52293,23189.63811507583
54429,23189.489866472035
54595,23185.48831406914
56421,23183.51314010832
52869,23165.817185396463
56242,23158.328658478167
51916,23133.987074797144
55186,23128.33754364638
53330,23106.43313696245
52388,23103.657511115154
53512,23101.584750739978
55662,23099.434433301947
55579,23096.836683915375
54531,23079.1339833063
55165,23078.78695541847
51566,23068.43385479715
51199,23058.83091544037
52196,23057.139214895033
55608,23052.930612438304
52581,23043.56857171564
55738,23025.18276532238
55845,23018.836341525443
51043,23015.429547219836
54785,23010.127474749326
56776,23003.676668084245
54501,22971.72773754119
55581,22967.555794103508
52102,22953.878169356765
56054,22952.929323740263
52687,22949.290088026657
54101,22936.529105890873
53306,22908.23253990958
52035,22907.386198596323
55964,22899.387271559775
56486,22896.328738660755
53236,22895.633133283693
54724,22893.431099470057
51019,22890.937709446105
51205,22871.836185145905
52744,22869.780685739006
55827,22856.13347647996
56306,22840.281103564597
52433,22827.53267103799
50970,22821.824955070617
53261,22815.93065293548
54722,22784.811076672326
56348,22755.175323111034
51672,22753.128440454107
55674,22734.686487656876
53009,22734.38257476027
52541,22732.280869835267
51396,22728.140237390977
52974,22727.63154700891
56937,22716.685789193452
56938,22716.685789193452
56213,22691.93221395166
54782,22686.176608303573
56137,22671.33186969834
55310,22663.127049389703
54324,22655.582407290316
51969,22645.32958361414
52269,22630.532230986708
51834,22623.13671013161
51820,22606.13143741758
52270,22600.41692234412
55839,22594.87401680285
53781,22585.20826998714
51358,22582.533926696866
51990,22569.164608388703
56958,22556.088197779853
56959,22556.088197779853
51642,22548.782990099608
56941,22547.183378958667
56942,22547.183378958667
55757,22541.633983159612
56454,22529.68414085359
55664,22518.78845718284
55800,22514.12978331608
52588,22508.778599870668
56041,22498.079217047176
52768,22493.721906761795
52996,22482.97925425994
54342,22473.684463419766
53052,22467.833784528757
56738,22462.677907389774
54416,22453.878381374896
56614,22449.036747404105
51654,22444.08119329615
53024,22428.7819826073
55859,22422.937842474505
52315,22398.932408868448
54389,22387.21979101692
55776,22382.366241047104
52049,22377.080806094113
53774,22371.187378065122
50941,22362.935334759437
51345,22354.628625245165
54154,22341.633525216435
52282,22324.684570282618
56414,22323.088825266208
51381,22322.969547836405
56154,22313.236372458097
55702,22308.33747516205
56354,22295.184382083964
53054,22292.131357068858
53396,22290.18577520937
56288,22283.732289581363
51953,22277.421369892334
51768,22273.25617674432
53755,22271.3878380852
54387,22256.627031814143
54420,22220.12528648985
56027,22218.586415650752
53934,22213.731965384235
51776,22211.385591615526
51262,22209.18897451614
55912,22199.536654788088
56056,22186.735050112875
56639,22185.839243548966
56378,22177.235815696622
56608,22177.186109697956
55998,22177.17841439516
55576,22171.62983527539
53829,22165.327423860548
54008,22157.634893134684
54521,22145.9799878821
54621,22144.17627119713
51265,22142.781908171768
52765,22138.88688320513
52576,22133.230237264626
52806,22130.316517633597
55397,22124.722883646762
55705,22118.829550960683
51279,22111.638217025662
56263,22110.738846885262
51166,22105.93178970689
53857,22104.7269594892
51202,22102.827017520787
54230,22097.237930683015
55655,22095.637381851866
56817,22094.98663938888
56316,22093.279799268097
56304,22085.823639262322
52706,22084.784299109924
51479,22074.48145762427
54552,22074.1848239482
52633,22072.086747722584
53405,22061.035015957594
56980,22050.479811123805
56981,22050.479811123805
53818,22043.9816270635
56083,22032.327925743848
54944,22031.58812615151
56231,22017.3856763565
52355,22013.431821538925
53844,22004.48098848864
52972,21997.72222800214
53632,21992.88175281959
55190,21989.730516334723
52563,21976.1012310878
51970,21974.536831956113
55438,21973.305236595617
55144,21968.377941246265
52092,21966.586392750083
56830,21965.888327897865
55648,21965.834727200883
55970,21949.17817159095
54049,21945.20925002723
52891,21942.436835930268
51235,21932.60653205563
56107,21919.73228625306
55950,21918.188525636506
54351,21917.938014500538
51110,21913.652781930225
54208,21913.580382248932
53494,21912.73657012475
53212,21906.18935434185
52907,21896.784055588483
55920,21893.580972709533
54393,21891.034463531898
56387,21890.336810324836
53386,21881.133523639328
51009,21877.838861630997
52458,21873.688160175538
52955,21870.236973251158
56366,21866.234329007395
52990,21863.286842743568
52508,21850.97572147163
55516,21849.382743029943
51573,21836.720455320243
55619,21836.423980674783
56858,21832.05996561901
56859,21832.05996561901
54528,21822.587041484687
50983,21809.284284811012
53507,21809.233301362772
53751,21805.62943642576
54118,21785.48772952456
55708,21782.43301877319
51078,21777.539099772734
55539,21769.97940930661
55394,21765.734935946708
51047,21765.08177950845
54633,21763.06945721156
53188,21762.428049627633
56229,21761.66247704423
54642,21755.129060821244
55634,21740.834080651737
55876,21736.286986588857
54525,21732.778236481725
52683,21731.83884159186
56016,21727.37808505059
51624,21723.221994423806
53311,21716.334685325
51059,21703.83398092466
52106,21694.981364589516
53017,21693.51364683276
55841,21692.583671713714
55042,21685.781331879458
51923,21680.686211451397
56657,21665.778759468398
53133,21650.487170833312
54946,21639.879772551496
56372,21634.436845702407
52250,21622.93644274887
52230,21622.93157169206
53488,21619.427399085922
55193,21612.41483939261
53888,21602.67432503707
51023,21595.965132889585
54868,21595.525475464347
53155,21591.47269065529
55718,21590.83647645691
52076,21582.379070527124
53828,21582.274979383405
56781,21545.03268095871
52653,21538.280609805814
52181,21537.737819193815
52287,21529.736419668196
51357,21528.33633513259
52910,21527.18439814356
56415,21526.08509600943
51124,21523.883641743894
51900,21518.582373147543
54190,21517.939175774816
54639,21516.03522366561
56775,21512.68091741723
53124,21506.83417321367
51224,21496.455247481295
54752,21495.886583905994
56538,21495.68367653106
54973,21493.231370262634
52495,21487.636169449863
54813,21484.18381515644
55797,21483.834971409404
53130,21478.787428230113
56067,21473.234302689325
