User,Betweenness Centrality,Community
Gina24,0.027585145734377318,3
bud61,0.024323432943269534,9
Alexsocial,0.0226869643142672,5
BSharp1013,0.022181429018051067,58
constanza28,0.021060432357231925,0
LolitaAlvarado,0.01993157009637677,19
morogallino,0.019499772727146886,0
George73,0.018689214647752504,33
bonman,0.01762339033700899,3
SALLYJARAMILLO,0.01699412445947536,35
tonytiger1210,0.016845267880114877,19
Glory51,0.016141140582281045,13
Jane70,0.01614006457994614,19
Anton,0.0157443281798763,19
rdrains,0.015381396668251479,9
luciam2,0.014939235367027062,3
martin89,0.014704391147286965,45
Javi69,0.014004973977764587,5
Ozgun,0.013749428362735284,33
Kvisten,0.013542053329036421,28
Equitis,0.013268396974179555,35
Lidiamar,0.013053637367153276,19
matcope,0.012842638554792302,5
ausguy2013,0.012780691877895429,0
Traveled,0.012648051593045204,3
Eliecer89,0.012642818301396873,43
jannyN12,0.012385361262554868,5
Erupay,0.012114766188497666,23
Galaxia1604,0.01210257460831554,23
maybeg,0.011893705916494452,46
Olichka,0.011651907316288453,23
Ave,0.011166261618213769,58
Liss25,0.01110318455703084,46
peeeter,0.011095916151653453,45
guiomar,0.010967571611066606,19
mohammada,0.01084086748600788,9
Lamorenota,0.010747331274265907,45
Franciscoed30,0.010421293448090122,13
Costas778,0.010408611451900933,13
shylady,0.010237355047914305,13
Kunhatai,0.010062474084853999,5
__Jack__,0.009997064580668591,57
ferdinand,0.009663177804772731,57
yolbis,0.009341057639602203,23
GreenRose,0.009249317777811987,56
enriquej2,0.009164869271420425,139
aloneindekalb,0.009114242861372098,9
radiomanwy9a,0.009094450724181097,17
Michi182,0.009089427965062088,125
oria,0.008915156515957059,13
bobi93,0.008873154157972936,5
Juan,0.008804822438572472,62
Becky38,0.008529286122696919,23
Sandra1969,0.008483815451857885,19
billyHill,0.008440112034664018,9
Louis_M,0.008367150829086326,43
lupita2016,0.008350547621004647,28
Lovedel,0.008304076118896936,58
dorisa,0.008200078510930946,20
michelledavila_,0.007843772003995638,37
4758,0.0076782063424681085,13
Janet,0.007601215739739098,9
Clemson,0.007392848127761378,19
Valbona,0.007340376835590131,11
Gmagbanua08,0.007305546194886601,19
yangtse,0.007203857654920007,23
juancelot,0.006990765339310669,57
Dan,0.006913234600720634,19
Soulweaver,0.006835101760751737,35
Treerat,0.006825639794750126,9
Jantjedpx,0.006790780999666648,57
vaudry44,0.00674045088156194,46
Malelooking,0.006705440163005594,19
zen,0.006656057089628685,11
dionisiosa,0.0063635768442215175,13
Frank4575,0.006313337386807764,35
Lizzi,0.0061819332415199105,9
Alexa1513,0.006100797935772414,0
Jasa83,0.0060775873305656996,3
anielka1,0.0059814841394021144,46
excop,0.0058826886092130225,11
douxbaiser,0.005862225246073537,5
emir06,0.005780303063140225,37
ilde1996,0.005762730046543982,28
Alexander25,0.0057266139139196,5
sabertooth,0.005684257497849296,20
Megonore_0110,0.005651610331649427,43
svetlanas,0.005589393044617394,19
jorge1972,0.005570685989483996,23
Mike65,0.005552884832863659,35
Lorenciya,0.0055469293243971185,20
amber5360,0.005525117135992194,9
deanzo,0.0055021711054507256,37
poetoflove,0.00549543076406359,19
Huey,0.0054684443713511185,28
heverthgut,0.005439575122709571,28
MarioTC,0.00541000123412234,46
Andreatorres,0.00539040886111296,3
Nicol12,0.005242385510950319,45
Mr_Scott,0.00523992085833653,13
YOJHANA1288,0.005223760548240125,9
Angel7,0.005177306321036934,19
henrya234567,0.005066706168358026,0
Taimi,0.005010950091194257,31
DinaraL,0.004997467821369262,125
bluestel,0.0049540951517046,3
sabor,0.004925918496889389,57
jimaorais,0.0049037139944096446,58
Wrangler1954,0.004895627994200406,9
Tweetynot,0.004887375814283909,19
truesally,0.0048639405487053665,9
johnsilverfox,0.004859583362980986,17
Adrymtt,0.004759015388400171,43
lupitaa,0.00473411055418991,1
srjh1204,0.004679440513144067,11
Nayo,0.004654249345906079,43
marcela57,0.004642175226496064,57
Osvaldo1965,0.004613385697766568,33
Karito19,0.004600339764700198,37
Selete,0.004579998007347015,33
Neli1980,0.004539988940037678,5
idarlenny,0.004533117587427305,91
Svetyli,0.004532054997580561,13
cubacubacuba,0.0044860124110182404,0
elenaflores,0.0044621252440947825,23
josepbcn,0.004434428493143262,139
taty89,0.004330138895288727,57
ernest,0.004313199054476128,125
acacia,0.004305504996982217,9
maricelp,0.004217165222364904,1
Jstnona,0.0041854137440513715,9
servicedogtrainer,0.004167826214802807,58
RANIA63,0.004159500199102772,20
SAA,0.004133726073251166,5
carol2901,0.004133506115172766,28
greener12,0.004066952165997219,19
Sauldiaz,0.004036444783527526,37
magicmike,0.003984378566814056,17
VinnieXX,0.003906763086465455,3
Marizhu,0.003900661623723287,57
michael,0.00387840900137161,9
rs128,0.0038095633010769014,0
Basti110,0.003785624321419455,3
jjjbj1968,0.003767915895531136,28
Lilyd,0.003749270688676475,11
adille,0.0037075312488681574,11
FreeSpirit4Ever,0.003698563970166498,33
Ldr,0.0036169562077199907,57
Edwin001,0.003615616943291235,46
veronica97abad,0.003609483392208073,20
jesse,0.003512657855163561,19
guepardho,0.003470399804988702,23
Kimo,0.0034505660089491587,17
sairong,0.003439414831340603,35
M22a,0.00343300178257319,11
queenelizabeth143,0.003421789820058905,58
jeanp234,0.0034182742091409817,125
ESTHERDU,0.003414412210810468,57
Marycruz,0.0034062226218072446,35
elaien,0.0033318148901979577,23
Jean220892,0.0033257889694169682,33
39zenymarenco,0.003322046120189316,57
Tysonrs,0.003316262589890962,9
Fique,0.003288242241310518,23
MissBond,0.0032137801259547807,13
yli,0.003195633838481699,11
AbelA,0.003193689382767186,5
looking4friends,0.0031721908707577273,9
marioo,0.003152235910725216,28
Fernanda86,0.0031435655052802322,28
samanthas,0.003084737048576288,46
Elena_Feliksovna,0.0030845112475140998,13
cunnetc12,0.0030564474550879633,0
MarkAnthony1962,0.00304440587486504,9
Sunshyne7,0.003036181130459259,23
cameronm,0.003018009115666665,58
pettermann,0.0029905602048190126,91
nathan54,0.0029763622268884735,28
DeltaBlues,0.002958500032463616,19
2018Any,0.0029463744935569022,31
nellyc,0.0029456163755011812,125
enribon,0.002888889809914098,35
Guiany,0.002865132676944187,3
Biank,0.0028328077550119134,57
Romina2020,0.00283167143032978,33
Octavio76,0.0027688309640270105,13
LuisssII,0.0027608067854654706,125
Walo,0.0027430726028445976,9
LittleStar,0.00273669883729345,9
gabriela1960,0.002729737575092237,46
FARH,0.002726087122912656,57
dixon43,0.002725649775155254,23
Nin,0.002719926137317611,0
Lucica,0.002712342695370211,19
Number1,0.002706471982468092,20
ArmandoDj,0.002706387400881279,19
Brizadeluz,0.0026622362191139584,3
toninors,0.002641698107747662,31
Hyangel1974,0.0026332859053458365,19
rasheeda,0.0026329239261939086,19
Mickie1954,0.0026070702189018033,9
JoJoSwe,0.0026049268890226134,1
innulichka,0.0026001716562438046,13
dayanamorales,0.002579882442885638,9
SweetFin,0.0025781642868553975,23
Alex911,0.0025673611471293705,125
nrg4life,0.0025423640907710167,9
Eve888,0.0025343174435600428,20
javier2018,0.0025149946289063333,45
MissB,0.002514847302531127,17
khawbk,0.0024890694956280564,9
zakie,0.0024830557344411503,57
noreste24,0.0024496532758734118,17
SPWSPW,0.0024074560081375263,20
