,username,normalized_trust_score
1723,suvir,1.0
549,jane0810,1.0
1722,peter124,0.8951825886613397
548,Skuggi,0.8951825886613397
505,selwynq,0.5346014239923971
226,peeeter,0.5132261149519765
2042,Silena22,0.5082109477390974
3350,ramzi,0.49956396070563047
0,ausguy2013,0.48991595093370316
2952,Yulia23,0.45858603129687964
122,mariemond,0.4234142429953159
2043,giom2,0.4230121609360624
3,constanza28,0.41806857612499204
2080,rosliz40,0.38577314736385643
2158,Rodrigo_2017,0.3857670331137311
194,Kvisten,0.38095732198757787
551,aloneindekalb,0.3710380227223905
73,BSharp1013,0.3616556653286524
54,bud61,0.357932367397746
2001,josepbcn,0.3536083555448517
2434,ernest,0.34843500899239144
2092,samcro,0.3477811244715241
1100,princeses8,0.34504851523506663
1804,ohdette,0.3443464404490782
2506,shaned,0.34269170610416644
118,Kennethrw,0.3419032998596631
3277,coolbreeze,0.3353180553926595
1068,mamashoo,0.3310673209700015
55,anielka1,0.3302992853921592
1754,Arwen2015,0.3297526472831273
89,Anna63,0.29284935047957794
1581,rafaels,0.2900227789877322
32,user_78737,0.28816856151619197
169,bluestel,0.28508385460877605
1965,Fuggazza,0.2842205821765854
3166,liure,0.2834541648974866
153,innulichka,0.28219435711168334
2082,ralphp,0.2810982981522933
1806,sugey,0.2802225539143847
793,ludwig2020,0.2775717924119299
1609,deedee1305,0.2763080321412178
2411,silverre,0.2760597866358539
2410,ingridc,0.27255515127742064
309,alfred1957,0.2640984158167048
33,Equitis,0.2611015180475178
268,alejandrob,0.260203578454449
820,matcope,0.2601867967147496
1872,samc2,0.2537469388297148
489,RANIA63,0.24939670264749536
2159,cjoanna10,0.24387806534441603
402,sabor,0.24138201494997844
76,merlies,0.23885111275505758
519,cunnetc12,0.23803249843682048
628,curiousjb,0.23271341234070445
279,wavespell,0.23035887940926603
1492,Ldr,0.22699533105648362
3351,luisana,0.22452930345791292
273,yli,0.2235273586900154
2046,lucky49,0.22321290585011092
650,jannyN12,0.21992056639494367
413,George73,0.21610939973909704
550,milamarian,0.21515137964305092
1298,ttnnkkrr,0.21310574202285182
62,SALLYJARAMILLO,0.21225032728880025
20,billyHill,0.21179930575935835
44,truesally,0.20815473030162365
539,Javi69,0.2016425610812169
3278,VENU,0.20132515330878278
792,MARY1119,0.19446627745278713
563,morogallino,0.19097608260253568
303,rdrains,0.1896356504939341
1963,Carly77,0.18492509239379773
662,Alexander25,0.18322816319539684
2006,M22a,0.17760455048946258
319,Angielopez,0.1731304779054261
554,jerry5200,0.16651605060901148
3168,romanticskeptic,0.16328546388132104
2093,YajairaLuna,0.1592029624972796
508,LittleStar,0.15639203855328285
36,castaneda,0.15189379863292934
201,AngelitaPolintan,0.14991053327524761
1608,Lala2019,0.14851356030966512
501,vaudry44,0.14703806781822912
27,Treerat,0.1408958848275113
400,Frank4575,0.1374436410793292
256,rs128,0.1367450616308828
1759,maryc23,0.136658491377084
2565,fabyv,0.1328545276665018
42,Corina63,0.13100392384819648
1361,gustavog2,0.12991536428686304
1066,Amich11,0.1251538053210583
288,Gina24,0.1240627262521584
762,bobi93,0.12132195418359953
682,Jane70,0.11747993633659429
403,Jantjedpx,0.11657074125118948
827,dionisiosa,0.11409422550728407
738,robertm4,0.11396357884573083
1171,Michi182,0.1127205953451323
2924,Rinjarni,0.11223279155025037
446,Mr_Scott,0.11046090151840292
1582,Malelooking,0.11011360034025307
1373,Motagua,0.11005338117306986
1315,Kunhatai,0.10878578261972147
1490,JMP908,0.1085537802553753
1421,ISABELA1127,0.10744163283081881
100,heverthgut,0.10685331332752038
152,Franciscoed30,0.10625138500819664
373,tonytiger1210,0.10508374707689226
2445,Aid10,0.10365100872081683
1803,goranm,0.10330086584143422
2951,snaip1,0.10318995142977225
3353,bepo,0.10318995142977225
1939,mariganan703010,0.10199450440645258
2083,timojack,0.10157011401652796
2509,patrick,0.10118948019036875
193,JADE,0.10118293888262041
1488,Isabelle,0.10091867662209789
307,Jstnona,0.10053034456662886
88,Newsart,0.09987136298886326
1994,Moni17,0.09833473990072052
156,shylady,0.0973454694227448
252,maybeg,0.09675227483913951
516,jorgerp70,0.09646352092152977
9,Alexsocial,0.09588060603186928
93,Jose260559,0.09532359997499669
414,Traveled,0.09512935104010274
2640,zykkologo,0.09320342807644115
159,Glory51,0.09227776484096561
310,amber5360,0.09209994951497207
830,enriquej2,0.09117750734176763
247,guiomar,0.09068349081041953
503,Donnacdm,0.08925125974241398
132,phiwe,0.08898309024062225
2396,Hera0317,0.08878079311166422
1545,magicmike,0.08832157193549581
1088,39zenymarenco,0.08778865795740741
2081,mezeipalko77,0.08680859013081359
305,OOPS,0.08670357772398395
1212,Lidiamar,0.08638704310039848
771,BrownsvilleJD,0.08510661345455652
3237,juanxele,0.08501935178176719
3175,miguela23,0.08501935178176719
147,Wrangler1954,0.08445707315626838
94,Olichka,0.08393594682874395
399,GreenRose,0.08298680393810098
1795,Edwin001,0.08283028795191327
1104,Benn,0.08194181543191405
1349,mohammada,0.08157640367759446
1277,pettermann,0.08149824653468322
131,Soulweaver,0.08126612680058724
2482,dannysaav31,0.07971617435609764
506,radiomanwy9a,0.07930297531759123
491,adille,0.07832167324271797
21,spectrumAU,0.07805963018457489
913,lkn4luv6269,0.07733760803918395
679,Kim1414,0.0773001383714416
43,Lovedel,0.07728794471442868
2564,Bombay,0.07656320320023668
121,Norfel,0.07621510997747359
1747,PerfectlyImperfect,0.07621510997747359
1748,LuisFolache,0.07621510997747359
90,paulara,0.07539361499368903
1486,debbiebobbitt1,0.07388155265185592
573,Costas778,0.07384919251939907
426,bonman,0.07200883069260405
291,elenaflores,0.0717277013974567
31,excop,0.07125082709788193
165,Louis_M,0.07080412577883433
1794,lunabrillante,0.07060525831581763
1920,poetoflove,0.07026449075989825
2491,Klauss,0.07018695538079456
287,__Jack__,0.06962731742727409
770,almindai,0.0695860127126344
1002,yolbis,0.06945618241400868
773,Nin,0.06908849991537958
1069,Janet,0.06824748302325172
274,MarioTC,0.06811417637839849
437,Kimo,0.06591259781234032
851,AbelA,0.06511743725665932
345,MarkAnthony1962,0.06502206166267861
3118,josep2014,0.0643986874509249
258,Nana2,0.06423928108231669
864,Lisareid1961,0.06420172650437829
2619,Huey,0.06360078098322064
1623,idarlenny,0.06338877784444781
192,YOJHANA1288,0.06310944862148612
654,AmyCa,0.06281222170472363
517,toninors,0.0626472930694597
2094,kdjacks69,0.0625773582465188
313,queenelizabeth143,0.062420126597093485
601,Luzmalcd,0.06220016249902843
1379,Gangstad,0.061794681035855364
107,Lorenciya,0.061309816491795614
306,jjjbj1968,0.06107708668959961
678,Basti110,0.06083040186871704
186,Meredith,0.06077145340478176
2209,dianac234,0.06018931199059886
1491,Darln,0.060094985167178615
1487,miriamc,0.060094985167178615
1489,Cheryl15,0.060094985167178615
246,Dan,0.05993455663920754
908,Alicia49,0.05982033537194747
963,Grazynasz,0.05980396989142666
1873,geoff68,0.059457230808235
542,ilde1996,0.0592121065785345
794,MetSpain,0.058340486207943666
818,Anton,0.05828113995553169
22,looking4friends,0.05825175785378871
162,luciam2,0.05819768258755102
2556,Viviana9628,0.05781530094329463
2397,aniapatricia,0.05695709647750581
1377,Elena_Feliksovna,0.05695106140272882
30,zen,0.056909962851286786
2162,ladia,0.05685508785671508
1067,MsIrishka,0.05631572187138719
109,henrya234567,0.05562243462827398
113,nrg4life,0.05558021844885324
1964,reyfigue,0.055498129262002774
2290,Yoedave65,0.055273785200206996
196,acacia,0.0552706684376711
37,Eliecer89,0.05400563330352897
1103,Niconti,0.05396886546186339
752,Galaxia1604,0.05393952410773916
23,DUribe,0.053124003657452464
1350,Alex70,0.05301464711963925
1255,gearjammer38,0.05279803318475247
2346,Angie18,0.05278075904067553
984,ferdinand,0.052356601024584754
804,Jasa83,0.052294791840515116
518,Yase,0.05216718399473021
1775,amancio,0.05215754440573367
2047,Alej,0.051708286331317604
866,jarochitasexy,0.05163698939112599
206,Jonatancali,0.051368952759497856
459,cubacubacuba,0.051291144811420726
1485,CYA,0.050797995072604345
494,jimaorais,0.05075007861533852
231,julichris24,0.050608767246519686
172,JoJoSwe,0.050301701109977684
57,LolitaAlvarado,0.05009663089164023
1101,coopman15,0.0500865518952079
1848,johnsilverfox,0.04975017280387207
2161,Jaky,0.04958835732293623
2160,Angylow23,0.04958835732293623
58,esterdelacruz1,0.04944159148180795
189,deanzo,0.04935216267959197
1353,florsita,0.04906758972825706
568,jusgg,0.048892838626698916
3169,negra10,0.04882260052573333
1005,SPWSPW,0.04860185671678207
970,guada,0.048415345360160206
854,Arya,0.0482054685713065
809,Ariana,0.048137565466006706
95,Marianna910,0.047721219239106626
1820,samanthas,0.0474000375269361
340,Taimi,0.047369766852041056
1755,CristinaHenao,0.04735426122717753
2775,M6A7,0.04663770789599414
75,servicedogtrainer,0.04644053057058454
112,sabertooth,0.046026962281024424
591,Valbona,0.04580266891817045
96,elaien,0.045720364652016746
834,juancelot,0.045703038121995644
2576,Tatianna,0.04557889703306593
2061,james3667,0.04542299791407508
1120,robertm2,0.04538177855856333
2211,user_65457,0.04523061964430121
1173,Gmagbanua08,0.04444208775134335
1102,bradr,0.04436256470391616
1105,solf,0.04436256470391616
1961,Marhamat,0.044100788863923414
245,astridk,0.04403001483455203
176,RuthCabrera,0.044023869979047364
318,Liss25,0.04388000957119886
2117,DinaraL,0.043853264014725606
1831,nety72,0.04323574331687101
395,giuliana,0.04296420049509416
154,Svetyli,0.04269971080724758
826,Icecandy,0.04235080248283252
557,Willi,0.04193681867150992
136,sairong,0.041704770498752895
2067,Peca1001,0.041502825436916635
2702,fleaishac,0.041397085775041184
2085,Filbeauty,0.040967514661255
255,Neethailand,0.040357805686731446
1753,Izza,0.04018554975494393
283,2018Any,0.040057423687831016
1406,Fernanda86,0.04001530043153979
166,Ozgun,0.03991230132566482
2968,DeltaBlues,0.039868681173504825
967,dorisa,0.03985918095555722
6,LouiseAmy,0.03971006884771276
1752,adrianat,0.03955150052640558
1376,jinglesmar,0.039288017073350494
1344,leudisv,0.03905547267041224
243,XCarpediem,0.03898781693760848
1904,enribon,0.03892891301935239
174,Hyangel1974,0.03888318645924889
324,maricelp,0.03883324098142454
232,nikita1988,0.038775405777751376
171,VinnieXX,0.038716886095068945
1422,Merlyn91,0.03862318536244029
1270,acej,0.03852153550510518
168,martin89,0.03847299336157156
609,noreste24,0.03843378288549487
761,SAA,0.03841782399678085
961,Neli1980,0.03809457621571406
415,devran,0.03808097521529202
1360,Alex911,0.03794556497936893
135,svetlanas,0.03782900113063466
635,veronica97abad,0.03779664528972146
1203,Marizhu,0.037484838615581106
1578,greener12,0.037478314406990766
2050,julianab,0.03720170346293443
315,Sandra1969,0.03696250405600003
343,4758,0.03696066596301267
1146,marioo,0.03693670852980791
190,lupitaa,0.03666703608895197
610,michael,0.03657788969385423
2625,LP14,0.036479071392443586
2773,Karla1989,0.03613658823279908
808,cristinar23,0.036077803734910735
3000,Coop294,0.0359425930024243
2943,felipegd,0.035822971562551605
3370,rodolfov,0.035822971562551605
3371,deepak9158,0.035822971562551605
1133,kyasiandramafan,0.03579946163593158
1003,Willwe,0.035567528567282375
24,Marisa,0.03542542045360321
774,Dany58,0.035409730443362396
663,Mike65,0.03521888151725102
443,Marishka,0.03505379647133182
