username,trust_score_pcc,trust_score_pr,trust_score,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,scam,age,gender,location,ethnicity,occupation,marital_status,children,religion,sexual_orientation,sex,description,age_bin,description_set,description_stem,description_stem_set
bsharp1013,0.043848425117475165,0.006348271295683353,0.02509834820657926,30.0,30.0,30.0,0.0,75.0,male,"sallisaw, ok 74955, usa",mixed,retired,divorced,1-2 living with me,spiritual,straight,male,"i am not on here every day, especially in spring and summer, the growing season. if i miss your message, please be patient. if you write i will answer as soon as i see your message. i'm steve burroughs, 73, former marine, teacher, artist and writer looking for a good woman to share in this paradise i'm building..
i have a ranch i'm building in oklahoma from raw wild woods. i have a great sense of humor in spite of the world as it is today. if we can't laugh at the world and ourselves maybe we take the wrong things too seriously. i love all kinds of music except the kind that says we should kill instead of love and understand. i joined the marines because that was what men did. the put their a.. on the line to fight for this country. about my art, i was blessed with the ability to see and draw things as they appear. then a lot of practice. but i never knew i could paint until my ex gave me a paint set for my birthday, and for that and three beautiful children i will always be grateful.
when i was twelve, i went to the movies with my older brother. he had been going around looking at girls and saying he wouldn't kick them out of his bed. the movies was one of those vampire things that ,as usual, feature a very well endowed lady victim, so i said,""hum, i wouldn't kick her out of my coffin."" the whole theatre roared with laughter. i have to admit it felt really good to add laughter to the lives of so many at one time.
what i’m doing with my life
as i said, i'm retired and building for the future .i'm hoping to take a trip painting places like yellowstone. i want to visit montana but i am afraid i'll fall in love with it and what do i do with this place? we've been together for 12 years and shared blood, sweat and tears (all mine!). i feel guilty just thinking about sinking my shovel in other land. but after this winter, i don't think i'll be spending many winters in montana.
i’m really good at
painting and sculpture, writing short stories and poetry, shooting, loving.i love to dance. regardless of the music, i hear ""out upon the dance floor cheek to cheek.""
the first things people usually notice about me
first is my smile, second my laugh. after a bit of conversation they notice my wit and intelligence.
favorite books, movies, shows, music, and food
i've been reading 4-5 books a week since i was five years old. when i worked in the library in college people would ask me where to find things instead of the card catalog. yes, you actually had to read it from those cards in little drawers.
love movies. tv classics, ncis, elementary, bugs bunny, etc.
the six things i could never do without
love, companionship, love, love,brownies and coffee and love
i spend a lot of time thinking about
i spend a lot of time trying to figure ways to solve the world's problems. i guess you can tell by the news, i haven't had much luck.
on a typical friday night i am
until i find someone, right here looking. after i find you, we can work that out.
the most private thing i’m willing to admit
i don't fu*k, i make love- and it's far from casual!god has s blessed me with good health and a body that refuses to accept old age. maybe it is because i believe what he says.
you should message me if
you are female, single mother who is looking for dad, looking for lots of love and laughs, and financial security. the va screwed my kids out of their benefits so..",71-80,"{'lady', 'winter', 'bed', 'maybe', 'men', 'screwed', 'bit', 'catalog', 'great', 'marine', 'figure', 'woods', 'ex', 'oklahoma', 'love', 'without', 'one', 'paradise', 'books', 'place', 'painting', 'want', 'write', 'raw', 'set', 'knew', 'private', 'blessed', 'trip', 'm', 'laughs', 'poetry', 'guilty', 'worked', 'practice', 'older', 'seriously', 'kill', 'ca', 'going', 'tears', 'cards', 'roared', 'paint', '12', 'favorite', 'could', 'bugs', 'night', 'shooting', 'ways', 'years', 'thinking', 'benefits', 'k', 'va', 'laughter', 'second', 'drawers', '45', 'building', 'always', 'coffee', 'answer', 'really', 'day', 'life', 'miss', 'understand', 'three', 'girls', 'since', 'work', 'many', 'spend', 'victim', 'art', 'companionship', 'take', 'country', 'places', 'fall', 'reading', 'joined', 'see', 'looking', 'steve', 'floor', 'problems', 'news', 'conversation', 'female', 'sense', 'wit', 'lives', 'mine', 'think', 'god', 'patient', 'visit', '73', 'endowed', 'i', 'appear', 'music', 'ask', 'blood', 'brownies', 'single', 'make', 'classics', 'notice', 'security', 'll', 'afraid', 'feature', 'tv', 'ncis', 'elementary', 'theatre', 'except', 'around', 'people', 'bunny', 'guess', 'felt', 'message', 'far', 'etc', 'solve', 'children', 'movies', 'kids', 'kind', 'typical', 'accept', 'twelve', 'brother', 'instead', 'writing', 'believe', 'little', 'admit', 'library', 'tell', 'shows', 'feel', 'kick', 'time', 'card', 'trying', 'line', 'whole', 'saying', 'birthday', 'lots', 'yellowstone', 'willing', 'good', 'luck', 'hoping', 'montana', 'food', 'age', 'fight', 'season', 'please', 'share', 'draw', 'thing', 'growing', 'dance', 'sweat', 'add', 'spending', 'find', 'six', 'went', 'artist', 'sculpture', 'old', 'nt', 'humor', 'short', 'soon', 'shared', 'wild', 'kinds', 'teacher', 'said', 'future', 'beautiful', 'mother', 'cheek', 'actually', 'former', 'dad', 'stories', 'marines', 'summer', 'intelligence', 'five', 'casual', 'body', 'financial', 'regardless', 'grateful', 'upon', 'laugh', 'would', 'refuses', 'woman', 'shovel', 'together', 'gave', 'lovingi', 'fu', 'winters', 'wrong', 'health', 'things', 'lot', 's', 'ranch', 'ability', 'coffin', 'burroughs', 've', 'first', 'right', 'hear', 'says', 'like', 'smile', 'usual', 'well', 'usually', 'vampire', 'never', 'read', 'every', 'hum', 'week', 'spite', 'put', 'yes', 'retired', 'writer', 'especially', 'spring', 'much', 'someone', 'land', 'friday', 'world', 'today', 'sinking', 'college'}",everi day especi spring summer grow season miss messag pleas patient write answer soon see messag m steve burrough 73 former marin teacher artist writer look good woman share paradis m build ranch m build oklahoma raw wild wood great sens humor spite world today ca nt laugh world mayb take wrong thing serious love kind music except kind say kill instead love understand join marin men put line fight countri art bless abil see draw thing appear lot practic never knew could paint ex gave paint set birthday three beauti children alway grate twelv went movi older brother go around look girl say would nt kick bed movi one vampir thing usual featur well endow ladi victim said hum would nt kick coffin whole theatr roar laughter admit felt realli good add laughter live mani one time life said m retir build futur i m hope take trip paint place like yellowston want visit montana afraid ll fall love place ve togeth 12 year share blood sweat tear mine feel guilti think sink shovel land winter nt think ll spend mani winter montana realli good paint sculptur write short stori poetri shoot lovingi love danc regardless music hear upon danc floor cheek cheek first thing peopl usual notic first smile second laugh bit convers notic wit intellig favorit book movi show music food ve read 45 book week sinc five year old work librari colleg peopl would ask find thing instead card catalog ye actual read card littl drawer love movi tv classic nci elementari bug bunni etc six thing could never without love companionship love love browni coffe love spend lot time think spend lot time tri figur way solv world s problem guess tell news nt much luck typic friday night find someon right look find work privat thing will admit nt fu k make love s far casual god bless good health bodi refus accept old age mayb believ say messag femal singl mother look dad look lot love laugh financi secur va screw kid benefit,"{'winter', 'bed', 'men', 'bit', 'catalog', 'browni', 'great', 'join', 'stori', 'sens', 'ex', 'oklahoma', 'love', 'typic', 'secur', 'without', 'one', 'poetri', 'problem', 'place', 'want', 'write', 'raw', 'set', 'knew', 'privat', 'trip', 'year', 'm', 'ye', 'burrough', 'figur', 'screw', 'older', 'way', 'kill', 'ca', 'paint', '12', 'could', 'hope', 'librari', 'littl', 'night', 'especi', 'sculptur', 'singl', 'k', 'messag', 'practic', 'va', 'laughter', 'second', 'paradis', 'endow', 'sinc', '45', 'roar', 'answer', 'drawer', 'day', 'look', 'life', 'miss', 'understand', 'three', 'work', 'alway', 'spend', 'victim', 'art', 'companionship', 'take', 'fall', 'benefit', 'see', 'danc', 'steve', 'floor', 'sink', 'serious', 'news', 'wit', 'intellig', 'featur', 'vampir', 'actual', 'mine', 'think', 'god', 'patient', 'visit', '73', 'live', 'i', 'bless', 'appear', 'music', 'ask', 'blood', 'make', 'beauti', 'll', 'afraid', 'futur', 'tv', 'bodi', 'except', 'around', 'guess', 'felt', 'far', 'etc', 'children', 'abil', 'kid', 'wood', 'kind', 'accept', 'brother', 'instead', 'pleas', 'admit', 'notic', 'tell', 'feel', 'someon', 'kick', 'time', 'card', 'mani', 'line', 'girl', 'whole', 'birthday', 'say', 'ladi', 'elementari', 'solv', 'good', 'convers', 'food', 'montana', 'nci', 'luck', 'age', 'financi', 'fight', 'season', 'share', 'draw', 'thing', 'coffe', 'sweat', 'show', 'bug', 'add', 'classic', 'tri', 'find', 'six', 'went', 'artist', 'go', 'old', 'nt', 'humor', 'short', 'soon', 'refus', 'mayb', 'wild', 'teacher', 'said', 'will', 'countri', 'mother', 'cheek', 'dad', 'former', 'summer', 'five', 'casual', 'regardless', 'upon', 'favorit', 'laugh', 'would', 'togeth', 'shoot', 'woman', 'shovel', 'believ', 'yellowston', 'gave', 'lovingi', 'fu', 'guilti', 'wrong', 'movi', 'health', 'lot', 's', 'ranch', 'tear', 'coffin', 'first', 'grow', 'marin', 've', 'bunni', 'twelv', 'realli', 'right', 'everi', 'hear', 'colleg', 'femal', 'like', 'smile', 'usual', 'well', 'retir', 'never', 'grate', 'read', 'hum', 'week', 'spite', 'put', 'writer', 'spring', 'much', 'peopl', 'land', 'friday', 'book', 'world', 'today', 'theatr', 'build'}"
oops,0.04272461902767074,0.00297912028418519,0.022851869655927965,,,,,,,,,,,,,,,,,,,
queenelizabeth143,0.039954292849125245,0.0007128451505144281,0.020333568999819838,46770.0,46771.0,46771.0,0.0,49.0,female,"quezon, quezon, philippines",asian,hotelier,single,1-2 living with me,other,straight,female,"i am a very simple and down to earth woman who loves to eat and mingle with friends & family. i have a very good sense of humor that's why i can always make people happy or smile even in times of their sorrows...soooo sweet, very caring, loving & thoughtful gal... faithful, compassionate, passionate, and god fearing lady. you can always run to me if you need a shoulder to lean on. 

for now, i am only interested in making new friends.",41-50,"{'lady', 'happy', 'loves', 'new', 'always', 'soooo', 'friends', 'caring', 'times', 'eat', 'sorrows', 'faithful', 'woman', 'compassionate', 'need', 'even', 'interested', 'shoulder', 'making', 'sense', 'good', 'family', 'god', 's', 'run', 'sweet', 'mingle', 'passionate', 'earth', 'smile', 'make', 'thoughtful', 'lean', 'fearing', 'gal', 'humor', 'people', 'loving', 'simple'}",simpl earth woman love eat mingl friend famili good sens humor s alway make peopl happi smile even time sorrow soooo sweet care love thought gal faith compassion passion god fear ladi alway run need shoulder lean interest make new friend,"{'friend', 'new', 'soooo', 'eat', 'sens', 'alway', 'happi', 'thought', 'time', 'love', 'woman', 'faith', 'need', 'even', 'shoulder', 'compassion', 'ladi', 'simpl', 'fear', 'good', 'god', 's', 'sorrow', 'mingl', 'run', 'sweet', 'passion', 'earth', 'smile', 'make', 'lean', 'famili', 'interest', 'care', 'gal', 'humor', 'peopl'}"
silverre,0.034986545923008885,9.346988664033413e-05,0.01754000790482461,31464.0,31464.0,31464.0,0.0,65.0,male,"barcelona, barcelona, spain",white,,single,no children,other,straight,male,isn't easy write about himself. ask me what you want and i'll answer.,61-70,"{'easy', 'nt', 'answer', 'ask', 'want', 'write', 'll'}",nt easi write ask want ll answer,"{'nt', 'answer', 'ask', 'easi', 'write', 'want', 'll'}"
ingridc,0.03328984928929638,0.0003118823540538861,0.016800865821675132,31280.0,31280.0,31280.0,0.0,49.0,female,"cali, valle del cauca, colombia",hispanic,,divorced,1-2 living with me,spiritual,straight,female,,41-50,,,
jimmy,0.02949453219093368,8.008265354932517e-05,0.014787307422241502,43091.0,43092.0,43092.0,0.0,65.0,male,"springtown, tx 76082, usa",white,retired,divorced,don't want children,christian,straight,male,"5'8"" 232 stocky play guitar writing songs and book",61-70,"{'5', 'guitar', 'songs', 'writing', 'book', '232', 'play', '8', 'stocky'}",5 8 232 stocki play guitar write song book,"{'song', 'stocki', '5', 'guitar', 'write', 'book', 'play', '8', '232'}"
kurdee007,0.027135972408165804,0.000149051214008327,0.013642511811087065,42609.0,42610.0,42610.0,0.0,66.0,female,"marrero, la, usa",white,food tech,widowed,don't want children,christian,straight,female,i'm 5'5 few extra pounds short white hair w/red stricks,61-70,"{'m', '5', 'short', 'extra', 'white', 'hair', 'stricks', 'wred', 'pounds'}",m 5 5 extra pound short white hair wred strick,"{'m', '5', 'strick', 'short', 'extra', 'hair', 'pound', 'wred', 'white'}"
vegas,0.025839521044426963,0.00012157759904797785,0.012980549321737471,19653.0,19653.0,19653.0,0.0,48.0,female,"sparks, nv, usa",white,,widowed,more than 2 living elsewhere,other,straight,female,just moved to sparks reno area dont know anyone so,41-50,"{'reno', 'know', 'sparks', 'anyone', 'moved', 'area', 'dont'}",move spark reno area dont know anyon,"{'reno', 'anyon', 'know', 'spark', 'move', 'area', 'dont'}"
bud61,0.019132903497273684,0.004968569638560542,0.012050736567917112,14.0,14.0,14.0,0.0,62.0,male,"chesapeake beach, md, usa",white,building plans examiner,single,no children,christian,straight,male,"i live in southern maryland.just moved back after living in florida for 20 years. i currently hold certifications for and am licensed as a commercial building inspector,a building plans examiner,certified general contractor,home and property inspector and epa-lead renovator.i'm also an experienced draftsman (cadd)as well as journeyman carpenter.all my licenses are current/inactive at this point and time except for the building inspector and plans examiner licenses.sorry,but other than that,my baby blues,being tall,and being extremely handsome,is about all i have to use in order to try to impress you ladies.lol guess you could say that i'm a bad boy gone good. nice,but not disgustingly nice.a southern gentleman who's a tad rough around the edges,if you will.just a simple man.(not that kind of simple)lol don't make me have to turn you over my knee,woman!lol just kidding! unless you wanted me too,that is.lol i'm originally from southern maryland, but have been in florida since about a month before hurricane andrew. most of my family is in maryland. i'm a laid back, hard working, down to earth man. i have a good sense of humor, but usually it takes me a little time to warm up to people.looking for the lady who'll make my heart fart,bladder splatter,and liver quiver.lol woohoo!! seeking an attractive,smart,one-man woman.she don't have to be perfect.just perfect to me. 
if a woman makes more money than i do or has more material ""things"", i have no problem with it because i am not intimidated by women of means.at the same time , if your not ,that's ok too,because im not looking for someone to take care of me.just asking for the same respect in return that i have for hard working people regardless of gender.just thought i'd throw that out there since it seems to be an issue sometimes. 
being equals is important.i don't like control freaks.and harmony needs to be achieved, or at least attempted.i'm not in to the constant fighting, and screaming at each other scene.i'm too old for that kind of garbage.what i've learned from past relationships is that its not 50/50.and that both have to give 100% for anything to work.it can't be one-sided.you can't bail during tough times, and the grass isn't always greener on the other side of the fence.problems have to be talked out between the actual couple, and not the whole village.oh,and always remember to put the toilet seat down.lol 
if you're on the rebound,please don't waste my time.i don't want to be with you while you're (sitting,standing,laying) there scheming to yourself how you're going to get back with your ex.(or back at him)or both.when it comes to dating/relationships/romance/intimacy ,i'm not into playing second fiddle. oh,and by the way ladies,i have a strong southern accent.i've had it for 50+ years now and its not going to go away.",61-70,"{'lady', 'currentinactive', 'women', 'edges', 'andrew', 'd', 'attemptedi', 'genderjust', 'ladies', 'certified', 'thought', 'importanti', 'scenei', 'ex', 'problem', 'grass', 'timei', 'achieved', 'attractive', 'want', 'maryland', 'get', 'unless', 'laid', 'lol', 'willjust', 'woohoo', 'makes', 'm', 'playing', '20', 'liver', 'property', 'villageoh', 'remember', 'talked', 'way', 'smart', 'baby', 'ca', 'licenses', 'seeking', 'going', 'oneman', 'could', 'licensed', 'heart', 'care', 'years', 'away', 'also', 'extremely', 'second', 'harmony', 'nicea', 're', 'fiddle', '50', 'building', 'equals', 'sometimes', 'always', 'ladieslol', 'inspector', 'since', 'bad', 'least', 'take', 'takes', 'commercial', 'looking', 'cadd', 'seat', 'man', 'sense', 'intimidated', 'rebound', 'ok', 'actual', 'onesidedyou', 'mejust', 'bladder', 'live', 'downlol', 'draftsman', 'general', 'standing', 'warm', 'earth', 'make', 'back', 'll', 'rough', 'gentleman', 'garbagewhat', 'tad', 'originally', 'except', 'around', 'people', 'oh', 'guess', 'boy', 'learned', 'perfect', 'simple', 'screaming', 'kind', 'datingrelationshipsromanceintimacy', 'nice', 'workit', 'anything', 'waste', 'blues', 'quiverlol', 'little', 'tall', 'fart', 'epalead', 'time', 'comes', 'whole', 'contractor', 'disgustingly', 'southern', 'use', 'say', 'renovatori', 'good', 'money', 'asking', 'give', 'order', 'womanshe', 'please', 'fighting', 'home', 'hurricane', 'try', 'accenti', 'marylandjust', 'licensessorry', 'control', 'old', 'freaksand', 'nt', 'perfectjust', 'go', 'humor', 'examiner', 'peoplelooking', 'plans', 'throw', 'seems', 'past', '100', 'im', 'sitting', 'regardless', 'hold', 'times', 'greener', 'laying', 'scheming', 'working', 'issue', 'living', 'woman', 'kidding', 'fenceproblems', '5050and', 'needs', 'islol', 'gone', 'relationships', 'point', 'respect', 'strong', 'things', 'family', 'side', 's', 'impress', 've', 'tough', 'bail', 'florida', 'hard', 'carpenterall', 'like', 'well', 'moved', 'usually', 'knee', 'material', 'wanted', 'meansat', 'return', 'currently', 'handsome', 'splatter', 'constant', 'experienced', 'bothwhen', 'put', 'journeyman', 'turn', 'month', 'toilet', 'someone', 'certifications', 'couple'}",live southern marylandjust move back live florida 20 year current hold certif licens commerci build inspector build plan examin certifi gener contractor home properti inspector epalead renovatori m also experienc draftsman cadd well journeyman carpenteral licens currentinact point time except build inspector plan examin licensessorri babi blue tall extrem handsom use order tri impress ladieslol guess could say m bad boy gone good nice disgustingli nicea southern gentleman s tad rough around edg willjust simpl man kind simpl lol nt make turn knee woman lol kid unless want islol m origin southern maryland florida sinc month hurrican andrew famili maryland m laid back hard work earth man good sens humor usual take littl time warm peoplelook ladi ll make heart fart bladder splatter liver quiverlol woohoo seek attract smart oneman womansh nt perfectjust perfect woman make money materi thing problem intimid women meansat time s ok im look someon take care mejust ask respect return hard work peopl regardless genderjust thought d throw sinc seem issu sometim equal importanti nt like control freaksand harmoni need achiev least attemptedi m constant fight scream scenei m old kind garbagewhat ve learn past relationship 5050and give 100 anyth workit ca nt onesidedy ca nt bail tough time grass nt alway greener side fenceproblem talk actual coupl whole villageoh alway rememb put toilet seat downlol re rebound pleas nt wast timei nt want re sit stand lay scheme re go get back ex back bothwhen come datingrelationshipsromanceintimaci m play second fiddl oh way ladi strong southern accenti ve 50 year go go away,"{'talk', 'women', 'd', 'andrew', 'attemptedi', 'gener', 'genderjust', 'sens', 'thought', 'importanti', 'scenei', 'ex', 'fiddl', 'seem', 'learn', 'hurrican', 'problem', 'grass', 'timei', 'get', 'want', 'maryland', 'unless', 'laid', 'sometim', 'lol', 'willjust', 'woohoo', 'year', 'm', 'stand', 'harmoni', '20', 'liver', 'villageoh', 'way', 'smart', 'ca', 'oneman', 'could', 'littl', 'heart', 'care', 'sit', 'away', 'also', 'achiev', 'second', 'sinc', 'nicea', 'scream', 're', '50', 'handsom', 'issu', 'ladieslol', 'inspector', 'look', 'work', 'bad', 'least', 'plan', 'alway', 'take', 'relationship', 'cadd', 'seat', 'man', 'rebound', 'ok', 'actual', 'intimid', 'currentinact', 'bladder', 'live', 'mejust', 'downlol', 'draftsman', 'extrem', 'anyth', 'ask', 'warm', 'scheme', 'earth', 'lay', 'blue', 'make', 'rememb', 'back', 'll', 'examin', 'rough', 'peoplelook', 'gentleman', 'garbagewhat', 'tad', 'fenceproblem', 'except', 'around', 'oh', 'guess', 'disgustingli', 'properti', 'boy', 'play', 'perfect', 'attract', 'kid', 'kind', 'nice', 'workit', 'quiverlol', 'tall', 'licensessorri', 'fart', 'pleas', 'epalead', 'someon', 'time', 'need', 'whole', 'contractor', 'southern', 'move', 'use', 'say', 'ladi', 'renovatori', 'experienc', 'materi', 'good', 'licens', 'money', 'coupl', 'give', 'origin', 'order', 'fight', 'thing', 'home', 'womansh', 'tri', 'babi', 'accenti', 'marylandjust', 'commerci', 'famili', 'control', 'freaksand', 'nt', 'perfectjust', 'old', 'humor', 'go', 'edg', 'throw', 'past', '100', 'current', 'im', 'regardless', 'hold', 'greener', 'woman', 'seek', '5050and', 'islol', 'gone', 'point', 'respect', 'certifi', 'strong', 'simpl', 'equal', 'carpenteral', 'side', 'onesidedy', 's', 'impress', 've', 'tough', 'bail', 'wast', 'florida', 'hard', 'certif', 'come', 'like', 'usual', 'well', 'datingrelationshipsromanceintimaci', 'return', 'knee', 'meansat', 'splatter', 'constant', 'bothwhen', 'put', 'journeyman', 'turn', 'month', 'toilet', 'peopl', 'build'}"
alexander25,0.016622362125153237,0.0011144763433632717,0.008868419234258254,27932.0,27932.0,27932.0,0.0,39.0,male,"kyiv, kyiv city, ukraine",white,,single,no children,christian,straight,male,"i live in ukraine, it does not mean that i'm a bad person as many think. i could write that i live in america, but i do not like to lie. my mother is polish. my father's relatives are italians and russians. so i have many nationalities mixed up. i'm an educated man. i go in for sports, i do not smoke, i do not use drugs and alcohol. i work as a seller in a store. if my future wife will drink or smoke, i will not mind, i do not care how old she is, the main thing is that she was faithful and knew how to love. i can adapt to any person. i love cooking and traveling. my english is constantly improving in the process of communication. this is the best way to learn it ;-)",31-40,"{'best', 'seller', 'russians', 'nationalities', 'america', 'lie', 'traveling', 'work', 'mind', 'father', 'bad', 'ukraine', 'many', 'process', 'love', 'faithful', 'learn', 'adapt', 'smoke', 'english', 'use', 'drink', 'write', 'man', 'drugs', 'knew', 'educated', 'think', 's', 'm', 'live', 'mixed', 'sports', 'store', 'person', 'way', 'thing', 'main', 'like', 'wife', 'could', 'polish', 'improving', 'communication', 'mean', 'go', 'old', 'italians', 'care', 'relatives', 'cooking', 'alcohol', 'constantly', 'future', 'mother'}",live ukrain mean m bad person mani think could write live america like lie mother polish father s rel italian russian mani nation mix m educ man go sport smoke use drug alcohol work seller store futur wife drink smoke mind care old main thing faith knew love adapt person love cook travel english constantli improv process commun best way learn,"{'best', 'seller', 'america', 'lie', 'cook', 'work', 'mind', 'father', 'bad', 'travel', 'process', 'love', 'learn', 'faith', 'mani', 'sport', 'adapt', 'russian', 'smoke', 'english', 'use', 'nation', 'drink', 'write', 'man', 'knew', 'constantli', 'think', 's', 'm', 'rel', 'italian', 'live', 'mix', 'commun', 'store', 'person', 'way', 'thing', 'main', 'like', 'ukrain', 'wife', 'could', 'polish', 'mean', 'improv', 'futur', 'go', 'old', 'care', 'educ', 'alcohol', 'drug', 'mother'}"
