username,trust_score_pcc
ausguy2013,0.0018492450075636455
letizia,5.737886388495799e-05
tt,5.737886388495799e-05
constanza28,0.002722935951874757
carol39,5.737886388495799e-05
angellove,5.737886388495799e-05
louiseamy,0.00023932681343389624
geidyj,0.00018901441646801864
andreatorres,0.00016232351300150184
alexsocial,0.002363173575781327
freespirit4ever,0.00020484301765708618
sunshyne7,6.17488672831782e-05
josefina2019,1.8744167877633655e-05
clermoleiro,1.8744167877633655e-05
laura84,1.8744167877633655e-05
misti23,1.8744167877633655e-05
julilia2,1.8744167877633655e-05
jchh,0.00014509426712930798
anaorellana,6.474252179496517e-05
princesasi,9.538026025170448e-05
billyhill,0.004655314715424695
spectrumau,0.00411385423552562
looking4friends,0.006256409887137222
duribe,0.002496023760387021
marisa,0.00226665115021246
johna2345,0.000174446403894808
missb,0.0004475300414140697
treerat,0.0016769369610423925
grayshadow,0.000174446403894808
nicoleh,0.0002590611584469986
zen,0.0008025859732216378
excop,0.0008606205134612384
user_78737,0.003114476392126377
equitis,0.0029357924182581998
georgel,5.138019600475905e-05
paul11,5.138019600475905e-05
castaneda,0.0016984310745027176
eliecer89,0.0006947413408224676
miguelos,8.60791563522572e-05
michelinii,5.138019600475905e-05
naz_1,8.214069386996269e-06
xmale321,8.214069386996269e-06
corina63,0.0037044391169465053
lovedel,0.01366306792749847
truesally,0.004730405966664026
gaviscon,0.00036996333190552196
tommy,0.0009517989677468087
sunshineinca,0.00036996333190552196
alex2345,0.00012792524979371046
karito19,0.0002324084790549028
olg,8.317485827895439e-05
mimirushel,9.169077245881632e-05
cristiana2021,2.324684515403916e-05
marianne123,2.324684515403916e-05
bud61,0.019132903497273684
anielka1,0.0010419839920355037
rosita1631,0.0005554786058883686
lolitaalvarado,0.0012836511015914861
esterdelacruz1,0.0012162987626066254
jacqueline,0.0016454986842932154
alexa1513,0.0008890934311795034
geoconda,0.0006825279560309596
sallyjaramillo,0.00395169177033446
merimey,0.0009329939089339996
sitebot,0.0004077505980779498
jfchandler,1.749581509779204e-05
juanpedro,7.684838960339493e-06
apure63,7.684838960339493e-06
ramon1977,2.050146341637041e-05
sylvester,7.279726160050313e-05
cheeky_girl,0.00010914011138335427
adrymtt,0.0005188896267924057
2205942905,2.1909285629675548e-05
bsharp1013,0.043848425117475165
gabriela1960,0.0014055776649271694
servicedogtrainer,0.0021157769716057
merlies,0.0010769836889512187
beatrizp,0.0008395210444269691
maurin,0.0012283520886405472
sol555,0.0011860311877674597
mariaelnita,0.0008395210444269691
ave,0.0021381659690665167
kingsaturn,8.214069386996269e-06
conejo,8.214069386996269e-06
pirch,4.935891321108823e-05
matt0icu812,1.2816624456030917e-05
lygthzan,1.2816624456030917e-05
jairo_corrales_collazos,4.99510762387821e-05
newsart,0.00011741049834340073
anna63,0.00034887461807328173
paulara,8.901719733761004e-05
edmg23,8.214069386996269e-06
janata,8.214069386996269e-06
jose260559,0.00048610697499824483
olichka,0.0007899374083979537
marianna910,0.0002443500075858127
elaien,0.00030468449145903146
lilyd,0.00022229326748686136
operaciones2,8.214069386996269e-06
adaltij,0.00035961221403871734
heverthgut,0.000552002338192314
mypecks,0.00022871193893910877
puntarenas,0.00018280031401967615
alfie66,4.6165594390105924e-05
ntoryner,4.6165594390105924e-05
user_37595,0.00017900046963526195
jimmyg,0.000488439626437829
lorenciya,0.0018590831506279403
miyoto,0.000185732355784227
henrya234567,0.0005387973431099136
markdm57,0.000185732355784227
miele,0.000185732355784227
sabertooth,0.0005390478553467384
nrg4life,0.0007042377676814259
jimp01955,0.0003116677511166538
karl_pl,2.4426703686685412e-05
vikalysenk0,1.0904286476054587e-05
marju217,5.0829687421051e-05
kennethrw,0.002907609242598019
yela,2.8330589191651622e-05
king1980,9.473679640168496e-05
norfel,3.406352679003171e-05
mariemond,0.00018956891203218064
gail05,8.214069386996269e-06
loverboy1,8.214069386996269e-06
marialour,0.0002918841049576078
stevensen80,0.0001275785280998268
jean220892,0.000327718692406138
hotrod45,0.0005279293843060875
smgamer240,8.214069386996269e-06
milena555,8.214069386996269e-06
soulweaver,0.0007465865105001787
phiwe,0.0004108161726900475
dmpl2271,0.00045762325758042703
bene,5.5888433874334644e-05
svetlanas,0.0004098126837058328
sairong,0.0006019867582371877
lysap,0.00011930620859948942
enicibabymorena,0.00011309133278186636
rosana,5.5888433874334644e-05
yomairaa,0.0001417645124960119
carlos825,5.2158866065642566e-05
glo,0.00020855176039149566
luna1312,1.3397038379835187e-05
sauldiaz,8.512412535027747e-05
sigobuscandote,3.943407667816082e-05
sweetyvirgo,0.001008185233765413
wrangler1954,0.001873735091972342
alibonita,5.5786813512038565e-06
irvin1980,9.768971859951506e-06
rodrigocayoo,4.1112799686140693e-05
helga2366,0.00013757112884351503
franciscoed30,0.0005853689219478312
innulichka,0.0001799970018468885
svetyli,0.00046755246218307386
leen,0.00026354645294074353
shylady,0.0012111520574313631
mferalban,8.546885987831843e-05
gotica55,4.3850555883212726e-05
glory51,0.0013612873781186998
geelin_villaester,4.3850555883212726e-05
esmay,0.0008395210444269691
luciam2,0.00030767212172288914
neo_bluebaer,2.2787206748760202e-05
tommyhill1982222,4.684710349718657e-05
louis_m,0.0021487377246979297
ozgun,0.00035145522208459564
jose1882,2.2787206748760202e-05
martin89,0.0005462640463263201
bluestel,0.00038070553910849223
florianl,2.2787206748760202e-05
vinniexx,0.00024156628560858629
jojoswe,0.0006126822622601212
sonvisgo,3.9404985143362344e-05
hyangel1974,0.0010203115007691042
sonitaliz,3.9404985143362344e-05
ruthcabrera,0.0004432164969443801
paolaab,0.0003871755573356132
eva2016,0.0005198705872369932
olgag,0.00011254330718010978
amelia,0.00015857363552758944
ruthalex,7.128493380866126e-05
kseniagalatea,2.1891369363314732e-05
antuanette,2.1891369363314732e-05
valve,0.00012065670139876419
maritzagalon,2.1891369363314732e-05
meredith,0.0007052639784519525
verena,5.753041962266547e-05
marby,2.1891369363314732e-05
deanzo,0.00036179225910315554
lupitaa,0.0004026760350039057
migtzab,7.80800435740614e-05
yojhana1288,0.0014920780974347705
jade,0.0003257064624183291
kvisten,0.001315528307393838
michiqui,0.000168664189338444
acacia,0.0013929378474626555
zulay57,0.000168664189338444
mercedes56,0.00024360654891356973
celina50,0.0016978773050316664
floralaska,0.000168664189338444
angelitapolintan,0.0006615563327186837
nijjal,0.0003072330232756915
gee2003,0.0016271499274125027
sopubekova,0.0001828406456165313
iyazk,0.0001828406456165313
jonatancali,0.0019666663130338113
ammarauthor,0.0004463525632259044
sheik,0.00026175470214947284
jorge1972,0.0006616139887733098
purplemoon,5.0829687421051e-05
yuri67,6.160552056148658e-06
isman,1.2321104048691468e-05
highlanddad,3.8561221017458674e-05
luvmychihuahua,0.00020906935005524327
lindap,0.00020523520139580139
ameliacastillo,0.00030359957431068955
elizabeth1,0.00010890025512892308
templario,0.0008462249769869938
chary,0.0007449596771070319
barb951,0.00015246772126990875
tiare305,0.000576845127795553
amor,0.00020482813055488577
stanislava,0.00015246772126990875
kerem4,9.829970168872431e-05
xanderbeach,0.00025338821540493776
peeeter,0.001608966203881164
mistylight,2.07961363481698e-05
jd0529galea,1.4235814525951748e-05
jayumar,1.3397038379835187e-05
elida,0.00015525922004789048
julichris24,0.0009884072510716725
nikita1988,0.00047949231542340764
yesimar,0.00017140060053011643
lovenature,0.00022904777623199789
turqueza2016,0.00023677561888449643
marycruz,0.0002744758365299985
luis2015,0.00011488726045875978
pampet,5.1226721262998065e-05
becky38,0.0003820237353175643
janeth1,2.5736884868625122e-05
walo,0.0003187281095574341
lizzi,0.0018528516711816185
xcarpediem,0.0002635999451810749
daniella2wang,5.9302624047108214e-05
astridk,0.0006161251286678772
dan,0.0016086166440597732
guiomar,0.0038578186309178248
angely,0.0003926669298352732
maribelr,8.038331963297442e-05
kenimar,8.038331963297442e-05
marikita,8.038331963297442e-05
maybeg,0.0012839668225292859
valentina2016,0.0001347080073534035
lets_go_fishing,0.0003713827903455356
neethailand,0.00206458906419705
rs128,0.0010000225704130715
yamelihuiza,0.0001499893198692259
nana2,0.0005206209847204041
lint,8.214069386996269e-06
maniela,8.214069386996269e-06
carla74,2.1891369363314732e-05
m4rk2000,8.214069386996269e-06
day23,8.214069386996269e-06
magthel,8.214069386996269e-06
jesse,0.00020474446311600467
kateryna99,9.627903914688322e-05
ronny88,4.3226920372773046e-05
alejandrob,7.79764216652399e-05
sergey_1979_26,3.665432858603393e-05
roxy,1.2120205847130385e-05
stacyayoki,3.846849476318155e-05
just1girl,1.2120205847130385e-05
yli,0.0005540699607563936
mariotc,0.0007632144611714145
razi,0.00012080474432137671
nelsondavid,4.528741561277577e-05
richarvalenz,4.528741561277577e-05
faouzi_90,4.528741561277577e-05
wavespell,0.00020926505094381268
smithfield,7.60010036905481e-05
ucmeicucme2,0.00017400577030674298
eve888,0.0003139803288422393
2018any,0.0010479046103170164
derly,8.539566288666803e-05
nede,3.770088745786932e-05
simplelife,3.1349344663446425e-05
__jack__,0.0008375118951885143
gina24,0.0006949460100021552
joan03,0.00044587860066341834
annabella,0.00032551053808568256
elenaflores,0.00023724270676520287
andreap,4.138646815049145e-05
luzdivina,0.00012349329974812155
haique21,4.138646815049145e-05
odennys,0.0008395210444269691
michelledavila_,0.0002481170394052443
annanna,2.905077036976384e-05
ekaterina2022,6.764339535795715e-05
reneidi,8.214069386996269e-06
andyximena,8.214069386996269e-06
mpc,8.214069386996269e-06
auburnmist,8.214069386996269e-06
rdrains,0.0030045879397320005
naturistic2,0.0004255348777637697
oops,0.04272461902767074
jjjbj1968,0.0013177425466811043
jstnona,0.0029228726954516945
fridoline,0.0004255348777637697
alfred1957,0.0005104681166298558
amber5360,0.01037455912301015
jenny35,0.00042437740652564424
ceciderosa,0.00042437740652564424
queenelizabeth143,0.039954292849125245
kikio22,0.0010236188617319358
sandra1969,0.0011296109133173888
beatea,0.002881405256629868
martink2,0.00047430851577267994
liss25,0.0004839043892452884
angielopez,0.000856217328683264
five5fold0102,0.00014350263468271266
talihana,0.0009876294079883116
vlatko,0.00020276765552782011
rosaini,3.655461624498178e-05
maricelp,0.0003704249471677671
juicy72,5.0829687421051e-05
abumazen,0.00010715860543730593
annac2,0.0002848791819547069
meiken,4.823784114506683e-05
oscar1967,1.2321104048691471e-05
